feature,importance
length_per_hashtag,0.12736851082174627
length_per_hashtag,0.12488824246678723
post_time_hour,0.10438581251897781
content_length,0.10371067982731241
mentions_count,0.0791121405060553
has_mentions,0.0669989350880426
post_time_day,0.05867175449159882
has_mentions,0.05781873570955977
urls_count,0.04092657283516563
hashtag_count,0.03767715654642807
hashtag_with_image,0.035086378127522445
hashtag_with_image,0.03504618903676422
is_product_post,0.025744540643855097
is_engagement_post,0.020966543841055882
is_business_hours,0.019525683602831627
is_business_hours,0.017778470678513333
is_weekend,0.015128838595305128
is_weekend,0.013725889880033615
has_image,0.006738484269975438
is_promotional,0.0066944806689520535
has_hashtags,0.0012346522004673716
has_hashtags,0.0005252846561416731
emoji_count,0.00024602298690806334
has_price,0.0
