content_length,hashtag_count,emoji_count,has_image,post_time_hour,post_time_day,mentions_count,urls_count,is_product_post,is_promotional,is_engagement_post,has_price,favorite_count,retweet_count,reply_count,engagement_rate
84,2,0,1,15,0,0,1,0,0,0,0,69,15,2,1.1710259734955e-05
143,3,0,1,15,0,2,2,0,0,0,0,46,10,2,7.806839823303334e-06
172,3,0,1,14,0,0,1,0,0,0,0,65,11,2,1.0594996903054524e-05
133,3,0,1,14,0,0,1,0,0,0,0,130,20,2,2.0911178098133928e-05
165,5,0,1,13,0,0,2,0,0,0,0,29,6,1,4.879274889564583e-06
109,3,0,1,13,0,0,2,0,0,0,0,65,8,3,1.0176773341091845e-05
130,4,0,1,12,0,0,2,0,0,0,0,118,33,0,2.105058595212149e-05
134,2,0,1,11,0,1,1,0,0,0,0,1328,1038,221,0.00032983898253456586
115,2,0,1,11,0,0,2,0,0,1,0,173,20,4,2.6905715819598987e-05
154,3,0,1,10,0,1,2,0,0,1,0,28438,12919,581,0.005765490617363499
176,3,0,1,13,6,0,3,0,0,0,0,343,73,13,5.7993667258824764e-05
142,1,0,1,13,5,0,3,0,0,0,0,272,48,7,4.461051327601905e-05
170,1,0,1,13,4,0,3,0,0,0,0,247,71,10,4.433169756804393e-05
303,3,0,1,10,3,0,3,1,0,1,0,178,34,10,2.955446504536262e-05
165,1,0,1,16,2,0,3,0,0,0,0,172,42,3,2.9833280753337737e-05
230,2,0,1,10,2,0,3,0,0,1,0,171,41,1,2.955446504536262e-05
216,2,0,1,19,1,0,3,0,0,0,0,177,40,8,3.0251504315300416e-05
271,1,0,1,10,1,0,3,0,0,1,0,32,10,1,5.8551298674775e-06
189,3,0,1,7,1,2,1,0,0,1,0,15825,6478,217,0.00310921336748454
293,3,0,1,19,0,0,1,0,1,1,0,155,46,4,2.8020978651499465e-05
154,3,0,1,17,0,2,1,0,0,0,0,28332,11567,459,0.005562233966249637
236,4,0,1,15,0,2,1,1,0,0,0,34991,11868,639,0.006532512630003051
187,2,0,1,12,0,1,1,0,0,0,0,7925,585,98,0.0011863608374341316
138,2,0,1,9,0,1,1,1,0,0,0,320,46,7,5.102327455944679e-05
244,1,0,1,18,6,1,2,0,0,1,0,8430,859,54,0.0012949595556904403
146,3,0,1,10,6,1,2,0,0,0,0,265,58,5,4.5028736837981726e-05
157,3,0,1,9,6,1,2,0,0,0,0,283,57,5,4.739867035577024e-05
